NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
vzývač	3	2	yes1	a	č	čavýzv							vzývat	deVpref	a	imp	5	no	NA					no
vzpěrač	67	2	yes1	a	č	čarěpzv							vzpírat	deVsecimp	a	imp	5	yes	no					no
vyzvědač	41	3	yes1	a	č	čaděvzyv							vyzvídat	deVsecimp	a	imp	5	yes	no					no
vyznavač	639	3	yes1	ava<áva	č	čavanzyv							vyznávat	deVsecimp	áva	imp	5	yes	no					no
vyvolávač	57	4	yes1	áva	č	čaválovyv							vyvolávat	deVsecimp	áva	imp	5	yes	no					no
vyvíječ	28	3	yes1	e	č	čejívyv							vyvíjet	deVsecimp	e	imp	4	yes	no					no
vyvaděč	1	3	yes1	ě	č	čědavyv							vyvádět	deVsecimp	ě	imp	4	yes	no					no
vyšívač	7	3	yes1	a	č	čavíšyv							vyšívat	deVsecimp	a	imp	5	yes	no					no
vysvětlovač	1	4	yes1	ova	č	čavoltěvsyv							vysvětlovat	deVsecimp	ova	imp	3	yes	no					no
vysekávač	4	4	yes1	áva	č	čavákesyv							vysekávat	deVsecimp	áva	imp	5	yes	no					no
vysedávač	1	4	yes1	áva	č	čavádesyv							vysedávat	deVpref	áva	imp	5	no	NA					no
vysávač	2	3	yes1	a	č	čavásyv							vysávat	deVsecimp	a	imp	5	yes	no					no
vyřizovač	2	4	yes1	ova	č	čavoziřyv							vyřizovat	deVsecimp	ova	imp	3	yes	no					no
vyřezávač	3	4	yes1	áva	č	čavázeřyv							vyřezávat	deVsecimp	áva	imp	5	yes	no					no
vyráběč	1	3	yes1	ě	č	čěbáryv							vyrábět	deVsecimp	ě	imp	4	yes	no					no
vyptávač	2	3	yes1	áva	č	čavátpyv							vyptávat	deVsecimp	áva	imp	5	yes	no					no
vyprávěč	15	3	yes1	ě	č	čěvárpyv							vyprávět	deVsecimp	ě	imp	4	yes	no					no
vypravěč	1002	3	yes1	ě	č	čěvarpyv							vyprávět	deVsecimp	ě	imp	4	yes	no					no
vypouštěč	1	3	yes1	ě	č	čětšuopyv							vypouštět	deVsecimp	ě	imp	4	yes	no					no
vyplétač	7	3	yes1	a	č	čatélpyv							vyplétat	deVsecimp	a	imp	5	yes	no					no
vynašeč	3	3	yes1	e	č	češanyv							vynášet	deVsecimp	e	imp	4	yes	no					no
vymývač	1	3	yes1	va	č	čavýmyv							vymývat	deVsecimp	va	imp	5	yes	no					no
vymítač	45	3	yes1	a	č	čatímyv							vymítat	deVpref	a	imp	5	no	NA					no
vymetač	7	3	yes1	a	č	čatemyv							vymetat	deVsecimp	a	imp	5	yes	no					no
vyměřovač	1	4	yes1	ova	č	čavořěmyv							vyměřovat	deVsecimp	ova	imp	3	yes	no					no
vymahač	67	3	yes1	a	č	čahamyv							vymáhat	deVsecimp	a	imp	5	yes	no					no
vykrádač	60	3	yes1	a	č	čadárkyv							vykrádat	deVsecimp	a	imp	5	yes	no					no
vykonavač	2	4	yes1	ava<áva	č	čavanokyv							vykonávat	deVsecimp	áva	imp	5	yes	no					no
vyjednávač	143	4	yes1	áva	č	čavándejyv							vyjednávat	deVsecimp	áva	imp	5	yes	no					no
vyjednavač	217	4	yes1	ava<áva	č	čavandejyv							vyjednávat	deVsecimp	áva	imp	5	yes	no					no
vychutnávač	2	4	yes1	áva	č	čavántuhcyv							vychutnávat	deVsecimp	áva	imp	5	yes	no					no
vyhrnovač	1	4	yes1	ova	č	čavonrhyv							vyhrnovat	deVsecimp	ova	imp	3	yes	no					no
vyhodnocovač	10	5	yes1	ova	č	čavocondohyv							vyhodnocovat	deVsecimp	ova	imp	3	yes	no					no
vyhlazovač	2	4	yes1	ova	č	čavozalhyv							vyhlazovat	deVsecimp	ova	imp	3	yes	no					no
vyděrač	144	3	yes1	a	č	čarědyv							vydírat	deVsecimp	a	imp	5	yes	no					no
vydavač	2	3	yes1	va	č	čavadyv							vydávat	deVsecimp	va	imp	5	yes	no					no
vycpávač	11	3	yes1	áva	č	čavápcyv							vycpávat	deVsecimp	áva	imp	5	yes	no					no
vycpavač	1	3	yes1	áva	č	čavapcyv							vycpávat	deVsecimp	áva	imp	5	yes	no					no
vyběrač	1	3	yes1	a	č	čarěbyv							vybírat	deVsecimp	a	imp	5	yes	no					no
vybíječ	2	3	yes1	e	č	čejíbyv							vybíjet	deVsecimp	e	imp	4	yes	no					no
vrtač	10	2	no	a	č	čatrv							vrtat	UNMOT	a	imp	5	yes	no					no
vozač	2	2	no	a<i	č	čazov	vůz	UNMOT					vozit	UNMOT	i	imp	4	no	NA					no
vozič	2	2	no	i	č	čizov							vozit	UNMOT	i	imp	4	no	NA					no
voskovač	1	3	no	ova	č	čavoksov							voskovat	deNaction	ova	imp	3	no	NA					no
volič	4244	2	no	i	č	čilov							volit	UNMOT	i	imp	4	no	NA					no
vážič	1	2	no	i	č	čižáv							vážit	deNaction	i	imp	4	no	NA					no
vazač	21	1	no	a	č	čazav							vázat	UNMOT	a	imp	1	no	NA					no
váleč	12	2	no	e	č	čeláv							válet	UNMOT	e	imp	4	no	NA					no
vábič	3	2	no	i	č	čibáv							vábit	UNMOT	i	imp	4	no	NA					no
uváděč	3	3	yes1	ě	č	čědávu							uvádět	deVsecimp	ě	imp	4	yes	no					no
uvaděč	48	3	yes1	ě	č	čědavu							uvádět	deVsecimp	ě	imp	4	yes	no					no
utrhač	3	3	yes1	a	č	čahrtu							utrhat	deVsecimp	a	per	5	yes	no					no
utráceč	2	3	yes1	e	č	čecártu							utrácet	deVsecimp	e	imp	4	yes	no					no
utíkač	1	3	yes1	a	č	čakítu							utíkat	deVsecimp	a	imp	5	yes	no					no
uspávač	6	3	yes1	áva	č	čavápsu							uspávat	deVsecimp	áva	imp	5	yes	no					no
uspavač	1	3	yes1	ava<áva	č	čavapsu							uspávat	deVsecimp	áva	imp	5	yes	no					no
usmiřovač	2	4	yes2	ova	č	čavořimsu							usmiřovat	deVsecimp	ova	imp	3	yes	no					no
upravovač	1	4	yes1	ova	č	čavovarpu							upravovat	deVsecimp	ova	imp	3	yes	no					no
umývač	24	3	yes1	va	č	čavýmu							umývat	deVsecimp	va	imp	5	yes	no					no
uklízeč	114	3	yes1	e	č	čezílku							uklízet	deVsecimp	e	imp	4	yes	no					no
uklidňovač	9	4	yes1	ova	č	čavoňdilku							uklidňovat	deVsecimp	ova	imp	3	yes	no					no
ukládač	1	3	yes1	a	č	čadálku							ukládat	deVsecimp	a	imp	5	yes	no					no
uchazeč	2019	3	yes1	e	č	čezahcu							ucházet	deVpref	e	imp	4	no	NA					no
udíleč	1	3	yes1	e	č	čelídu							udílet	deVsecimp	e	imp	4	yes	no					no
udavač	203	3	yes1	va	č	čavadu							udávat	deVsecimp	va	imp	5	yes	no					no
uctívač	41	3	yes1	va	č	čavítcu							uctívat	deVsecimp	va	imp	5	yes	no					no
ucpávač	1	3	yes1	áva	č	čavápcu							ucpávat	deVsecimp	áva	imp	5	yes	no					no
ubíječ	2	3	yes1	e	č	čejíbu							ubíjet	deVsecimp	e	imp	4	yes	no					no
třídič	22	2	no	i	č	čidířt							třídit	deNaction	i	imp	4	no	NA					no
trubač	156	2	no	a<i	č	čaburt	trouba	UNMOT					troubit	UNMOT	i	imp	4	no	NA					no
trhač	16	2	no	a	č	čahrt							trhat	UNMOT	a	imp	5	yes	no					no
travič	42	2	no	i	č	čivart							trávit	UNMOT	i	imp	4	no	NA					no
trapič	17	2	no	i	č	čipart							trápit	UNMOT	i	imp	4	no	NA					no
topič	134	2	no	i	č	čipot							topit	UNMOT	i	imp	4	no	NA					no
tleskač	6	2	no	a	č	čakselt							tleskat	UNMOT	a	imp	5	yes	no					no
tepač	1	2	no	a	č	čapet							tepat	UNMOT	a	imp	1#5	no	NA					no
tavič	13	2	no	i	č	čivat							tavit	UNMOT	i	imp	4	no	NA					no
štváč	45	1	no	á	č	čávtš							štvát	UNMOT	á	imp	1	no	NA					no
štípač	51	2	no	a	č	čapítš							štípat	UNMOT	a	imp	1#5	yes	no					no
šňupač	1	2	no	a	č	čapuňš							šňupat	UNMOT	a	imp	1#5	yes	no					no
škrtič	38	2	no	i	č	čitrkš							škrtit	UNMOT	i	imp	4	no	NA					no
škrabač	1	2	no	a	č	čabarkš							škrabat	UNMOT	a	imp	1#5	yes	no					no
škodič	2	2	no	i	č	čidokš							škodit	deNaction	i	imp	4	no	NA					no
svářeč	136	2	yes1	e	č	čeřávs							svářet	deVsecimp	e	imp	4	yes	no					no
svařeč	3	2	yes1	e	č	čeřavs							svářet	deVsecimp	e	imp	4	yes	no					no
stříkač	2	2	no	a	č	čakířts							stříkat	UNMOT	a	imp	5	yes	no					no
střihač	94	2	no	a	č	čahiřts							stříhat	UNMOT	a	imp	5	yes	no					no
strhávač	2	3	yes1	áva	č	čaváhrts							strhávat	deVsecimp	áva	imp	5	yes	no					no
stíhač	69	2	yes1	a	č	čahíts							stíhat	UNMOT	a	imp	5	no	NA					no
stihač	3	2	yes1	a	č	čahits							stíhat	UNMOT	a	imp	5	no	NA					no
stavěč	20	2	no	ě	č	čěvats							stavět	UNMOT	ě	imp	4	no	NA					no
stahovač	13	3	yes1	ova	č	čavohats							stahovat	deVsecimp	ova	imp	3	yes	no					no
stáčeč	3	2	yes1	e	č	čečáts							stáčet	deVsecimp	e	imp	4	yes	no					no
srážeč	43	2	yes1	e	č	čežárs							srážet	deVsecimp	e	imp	4	yes	no					no
sráč	259	1	no	á	č	čárs							srát	UNMOT	á	imp	1	no	NA					no
splétač	2	2	yes1	a	č	čatélps							splétat	deVsecimp	a	imp	5	yes	no					no
spáč	197	1	no	á	č	čáps							spát	UNMOT	á	imp	4#5	no	NA					no
spalovač	77	3	yes1	ova	č	čavolaps							spalovat	deVsecimp	ova	imp	3	yes	no					no
sudič	14	2	no	i	č	čidus							soudit	deNaction	i	imp	4	no	NA					no
snovač	20	2	no	ova	č	čavons							snovat	UNMOT	ova	imp	5	no	NA					no
smrkáč	17	2	no	á<a	č	čákrms							smrkat	UNMOT	a	imp	5	yes	no					no
slídič	11	2	no	i	č	čidíls							slídit	UNMOT	i	imp	4	no	NA					no
slévač	25	2	yes1	a	č	čavéls							slévat	deVsecimp	a	imp	5	yes	no					no
sklízeč	10	2	yes1	e	č	čezílks							sklízet	deVsecimp	e	imp	4	yes	no					no
skládač	1	2	yes1	a	č	čadálks							skládat	deVsecimp	a	imp	5	yes	no					no
sháněč	1	2	yes1	ě	č	čěnáhs							shánět	deVsecimp	ě	imp	4	yes	no					no
seřizovač	25	4	yes1	ova	č	čavoziřes							seřizovat	deVsecimp	ova	imp	3	yes	no					no
sdělovač	1	3	yes1	ova	č	čavolěds							sdělovat	deVsecimp	ova	imp	3	yes	no					no
scelovač	1	3	yes1	ova	č	čavolecs							scelovat	deVsecimp	ova	imp	3	yes	no					no
sazeč	62	2	no	e	č	čezas							sázet	UNMOT	e	imp	4	yes	no					no
řidič	12260	2	no	i	č	čidiř							řídit	UNMOT	i	imp	4	no	NA					no
řezáč	9	2	no	á<a	č	čázeř							řezat	UNMOT	a	imp	1#5	yes	no					no
řezač	18	2	no	a	č	čazeř							řezat	UNMOT	a	imp	1#5	yes	no					no
rýsovač	3	3	no	ova	č	čavosýr							rýsovat	deNaction	ova	imp	3	no	NA					no
rváč	245	1	no	á	č	čávr							rvát	UNMOT	á	imp	1	no	NA					no
rubač	1	2	no	a	č	čabur							rubat	UNMOT	a	imp	1#5	no	NA					no
rozvraceč	16	3	yes1	e	č	čecarvzor							rozvracet	deVsecimp	e	imp	4	yes	no					no
rozvážeč	2	3	yes1	e	č	čežávzor							rozvážet	deVsecimp	e	imp	4	yes	no					no
roztleskávač	3	4	yes1	áva	č	čavákseltzor							roztleskávat	deVsecimp	áva	imp	5	yes	no					no
rozsvěcovač	1	4	yes1	ova	č	čavocěvszor							rozsvěcovat	deVsecimp	ova	imp	3	yes	no					no
rozsévač	22	3	yes1	a	č	čavészor							rozsévat	deVsecimp	a	imp	5	yes	no					no
rozplétač	2	3	yes1	a	č	čatélpzor							rozplétat	deVsecimp	a	imp	5	yes	no					no
rozparovač	144	4	yes1	ova	č	čavorapzor							rozparovat	deVsecimp	ova	imp	3	yes	no					no
roznašeč	21	3	yes1	e	č	češanzor							roznášet	deVsecimp	e	imp	4	yes	no					no
rozkrádač	1	3	yes1	a	č	čadárkzor							rozkrádat	deVsecimp	a	imp	5	yes	no					no
rozkradač	1	3	yes1	a	č	čadarkzor							rozkrádat	deVsecimp	a	imp	5	yes	no					no
rozhazovač	1	4	yes1	ova	č	čavozahzor							rozhazovat	deVsecimp	ova	imp	3	yes	no					no
rozehrávač	123	4	yes1	áva	č	čavárhezor							rozehrávat	deVsecimp	áva	imp	5	yes	no					no
rozdávač	1	3	yes1	va	č	čavádzor							rozdávat	deVsecimp	va	imp	5	yes	no					no
rozdavač	2	3	yes1	va	č	čavadzor							rozdávat	deVsecimp	va	imp	5	yes	no					no
rozbíječ	16	3	yes1	e	č	čejíbzor							rozbíjet	deVsecimp	e	imp	4	yes	no					no
rouhač	24	2	no	a	č	čahuor							rouhat	UNMOT	a	imp	5	no	NA					no
rodič	25245	2	no	i	č	čidor							rodit	UNMOT	i	imp	4	no	NA					no
razič	13	2	no	i	č	čizar							razit	UNMOT	i	imp	4	no	NA					no
pytlovač	1	3	no	ova	č	čavoltyp							pytlovat	deNaction	ova	imp	3	no	NA					no
přizvukovač	1	4	yes1	ova	č	čavokuvziřp							přizvukovat	deNaction	ova	imp	3	no	NA					no
přivolávač	1	4	yes1	áva	č	čaváloviřp							přivolávat	deVsecimp	áva	imp	5	yes	no					no
přitakávač	4	4	yes1	áva	č	čavákatiřp							přitakávat	deVsecimp	áva	imp	5	yes	no					no
přisluhovač	106	4	yes1	ova	č	čavohulsiřp							přisluhovat	deVpref	ova	imp	3	no	NA					no
přinašeč	1	3	yes1	e	č	češaniřp							přinášet	deVsecimp	e	imp	4	yes	no					no
přikyvovač	3	4	yes1	ova	č	čavovykiřp							přikyvovat	deVsecimp	ova	imp	3	yes	no					no
přikladač	1	3	yes1	a	č	čadalkiřp							přikládat	deVsecimp	a	imp	5	yes	no					no
přihrávač	4	3	yes1	áva	č	čavárhiřp							přihrávat	deVsecimp	áva	imp	5	yes	no					no
přihlížeč	5	3	yes1	e	č	čežílhiřp							přihlížet	deVsecimp	e	imp	4	yes	no					no
přihazovač	2	4	yes1	ova	č	čavozahiřp							přihazovat	deVsecimp	ova	imp	3	yes	no					no
přidavač	14	3	yes1	va	č	čavadiřp							přidávat	deVsecimp	va	imp	5	yes	no					no
přicmrndávač	6	4	yes1	áva	č	čavádnrmciřp							přicmrndávat	deVsecimp	áva	imp	5	yes	no					no
převlékač	4	3	yes1	a	č	čakélveřp							převlékat	deVsecimp	a	imp	5	yes	no					no
převáděč	4	3	yes1	ě	č	čědáveřp							převádět	deVsecimp	ě	imp	4	yes	no					no
přerozdělovač	2	5	yes1	ova	č	čavolědzoreřp							přerozdělovat	deVsecimp	ova	imp	3	yes	no					no
přepisovač	6	4	yes1	ova	č	čavosipeřp							přepisovat	deVsecimp	ova	imp	3	yes	no					no
přenášeč	2	3	yes1	e	č	češáneřp							přenášet	deVsecimp	e	imp	4	yes	no					no
přenašeč	182	3	yes1	e	č	češaneřp							přenášet	deVsecimp	e	imp	4	yes	no					no
přemlouvač	2	3	yes1	a	č	čavuolmeřp							přemlouvat	deVsecimp	a	imp	5	yes	no					no
překopávač	6	4	yes1	áva	č	čavápokeřp							překopávat	deVsecimp	áva	imp	5	yes	no					no
přechovávač	5	4	yes1	áva	č	čavávohceřp							přechovávat	deVsecimp	áva	imp	5	yes	no					no
předváděč	3	3	yes1	ě	č	čědávdeřp							předvádět	deVsecimp	ě	imp	4	yes	no					no
předříkávač	5	4	yes1	áva	č	čavákířdeřp							předříkávat	deVsecimp	áva	imp	5	yes	no					no
přednašeč	3	3	yes1	e	č	češandeřp							přednášet	deVsecimp	e	imp	4	yes	no					no
předbíhač	1	3	yes1	a	č	čahíbdeřp							předbíhat	deVsecimp	a	imp	5	yes	no					no
prudič	26	2	no	i	č	čidurp							prudit	UNMOT	i	imp	4	no	NA					no
prošívač	1	3	yes1	a	č	čavíšorp							prošívat	deVsecimp	a	imp	5	yes	no					no
prorážeč	1	3	yes1	e	č	čežárorp							prorážet	deVsecimp	e	imp	4	yes	no					no
proplouvač	1	3	yes1	a	č	čavuolporp							proplouvat	deVsecimp	a	imp	5	yes	no					no
promítač	46	3	yes1	a	č	čatímorp							promítat	deVsecimp	a	imp	5	yes	no					no
prohledávač	2	4	yes1	áva	č	čavádelhorp							prohledávat	deVsecimp	áva	imp	5	yes	no					no
prodavač	1240	3	yes1	va	č	čavadorp							prodávat	deVsecimp	va	imp	5	yes	no					no
práč	1	1	no	á	č	čárp							prát	UNMOT	á	imp	1	no	NA					no
práskač	95	2	no	a	č	čaksárp							práskat	UNMOT	a	imp	5	yes	no					no
poživač	4	3	yes1	va	č	čavižop							požívat	deVsecimp	va	imp	5	yes	no					no
požírač	87	3	yes1	a	č	čarížop							požírat	deVsecimp	a	imp	5	yes	no					no
pozlačovač	1	4	yes1	ova	č	čavočalzop							pozlacovat	deVsecimp	ova	imp	3	yes	no					no
pozlacovač	2	4	yes1	ova	č	čavocalzop							pozlacovat	deVsecimp	ova	imp	3	yes	no					no
povzbuzovač	3	4	yes2	ova	č	čavozubzvop							povzbuzovat	deVsecimp	ova	imp	3	yes	no					no
povolovač	1	4	yes1	ova	č	čavolovop							povolovat	deVsecimp	ova	imp	3	yes	no					no
povalovač	1	4	yes1	ova	č	čavolavop							povalovat	deVsecimp	ova	imp	3	yes	no					no
povaleč	150	3	yes1	e	č	čelavop							poválet	deVpref	e	per	4	yes	no					no
potápěč	504	3	yes1	ě	č	čěpátop							potápět	deVsecimp	ě	imp	4	yes	no					no
pošklebovač	1	4	yes1	ova	č	čavobelkšop							pošklebovat	deVsecimp	ova	imp	3	yes	no					no
posunovač	17	4	yes1	ova	č	čavonusop							posunovat	deVsecimp	ova	imp	3	yes	no					no
posměvač	1	3	yes1	a	č	čavěmsop							posmívat	deVpref	a	imp	5	no	NA					no
posluhovač	6	4	yes1	ova	č	čavohulsop							posluhovat	deVsecimp	ova	imp	3	yes	no					no
posluchač	2649	3	yes1	a	č	čahculsop							poslouchat	deVsecimp	a	imp	5	yes	no					no
porážeč	1	3	yes1	e	č	čežárop							porážet	deVsecimp	e	imp	4	yes	no					no
popoháněč	1	3	yes2	ě	č	čěnáhopop							popohánět	deVsecimp	ě	imp	4	yes	no					no
popírač	25	3	yes1	a	č	čarípop							popírat	deVsecimp	a	imp	5	yes	no					no
popichovač	2	4	yes1	ova	č	čavohcipop							popichovat	deVsecimp	ova	imp	3	yes	no					no
pomlouvač	38	3	yes1	a	č	čavuolmop							pomlouvat	deVsecimp	a	imp	5	yes	no					no
pomáhač	1	3	yes1	a	č	čahámop							pomáhat	deVsecimp	a	imp	5	yes	no					no
pomahač	52	3	yes1	a	č	čahamop							pomáhat	deVsecimp	a	imp	5	yes	no					no
polykač	46	3	yes1	a	č	čakylop							polykat	deVsecimp	a	imp	5	yes	no					no
pokrývač	90	3	yes1	va	č	čavýrkop							pokrývat	deVsecimp	va	imp	5	yes	no					no
pojídač	43	3	yes1	a	č	čadíjop							pojídat	deVsecimp	a	imp	5	no	NA					no
pochybovač	76	4	yes1	ova	č	čavobyhcop							pochybovat	deVsecimp	ova	imp	3	yes	no					no
pochlebovač	11	4	yes1	ova	č	čavobelhcop							pochlebovat	deVsecimp	ova	imp	3	yes	no					no
pohlcovač	20	4	yes1	ova	č	čavoclhop							pohlcovat	deVsecimp	ova	imp	3	yes	no					no
poháněč	9	3	yes1	ě	č	čěnáhop							pohánět	deVsecimp	ě	imp	4	yes	no					no
podřezávač	1	4	yes1	áva	č	čavázeřdop							podřezávat	deVsecimp	áva	imp	5	yes	no					no
podněcovač	5	4	yes1	ova	č	čavocěndop							podněcovat	deVsecimp	ova	imp	3	yes	no					no
podavač	148	3	yes1	va	č	čavadop							podávat	deVsecimp	va	imp	5	yes	no					no
počišťovač	5	4	yes1	ova	č	čavoťšičop							počišťovat	deVsecimp	ova	imp	3	yes	no					no
platič	2	2	no	i	č	čitalp							platit	UNMOT	i	imp	4	no	NA					no
plašič	15	2	no	i	č	čišalp							plašit	deAaction	i	imp	4	no	NA					no
pískač	2	2	no	a	č	čaksíp							pískat	UNMOT	a	imp	5	yes	no					no
pátrač	68	2	no	a	č	čartáp							pátrat	UNMOT	a	imp	5	no	NA					no
pařič	4	2	no	i	č	čiřap							pařit	deNaction	i	imp	4	no	NA					no
palič	26	2	no	i	č	čilap							pálit	UNMOT	i	imp	4	no	NA					no
oznamovač	1	4	yes1	ova	č	čavomanzo							oznamovat	deVsecimp	ova	imp	3	yes	no					no
otevírač	2	4	yes1	a	č	čaríveto							otevírat	deVsecimp	a	imp	5	yes	no					no
osvětlovač	69	4	yes1	ova	č	čavoltěvso							osvětlovat	deVsecimp	ova	imp	3	yes	no					no
ostřelovač	125	4	yes1	ova	č	čavoleřtso							ostřelovat	deVsecimp	ova	imp	3	no	NA					no
osahávač	4	4	yes1	áva	č	čaváhaso							osahávat	deVsecimp	áva	imp	5	yes	no					no
oráč	83	2	no	á<a	č	čáro							orat	UNMOT	a	imp	1#5	no	NA					no
opylovač	255	4	yes1	ova	č	čavolypo							opylovat	deVsecimp	ova	imp	3	yes	no					no
opisovač	24	4	yes1	ova	č	čavosipo							opisovat	deVsecimp	ova	imp	3	yes	no					no
omývač	4	3	yes1	va	č	čavýmo							omývat	deVsecimp	va	imp	5	yes	no					no
omlouvač	2	3	yes1	a	č	čavuolmo							omlouvat	deVsecimp	a	imp	5	yes	no					no
omítač	1	3	yes1	a	č	čatímo							omítat	deVsecimp	a	imp	5	yes	no					no
olupovač	3	4	yes1	ova	č	čavopulo							olupovat	deVsecimp	ova	imp	3	yes	no					no
ochutnávač	28	4	yes1	áva	č	čavántuhco							ochutnávat	deVsecimp	áva	imp	5	yes	no					no
ochutnavač	1	4	yes1	ava<áva	č	čavantuhco							ochutnávat	deVsecimp	áva	imp	5	yes	no					no
ohýbač	12	3	yes1	a	č	čabýho							ohýbat	deVsecimp	a	imp	5	yes	no					no
ohledávač	27	4	yes1	áva	č	čavádelho							ohledávat	deVsecimp	áva	imp	5	yes	no					no
ohledavač	10	4	yes1	ava<áva	č	čavadelho							ohledávat	deVsecimp	áva	imp	5	yes	no					no
odsuzovač	1	4	yes1	ova	č	čavozusdo							odsuzovat	deVsecimp	ova	imp	3	yes	no					no
odstřelovač	150	4	yes1	ova	č	čavoleřtsdo							odstřelovat	deVsecimp	ova	imp	3	yes	no					no
odposlouchávač	4	5	yes1	áva	č	čaváhcuolsopdo							odposlouchávat	deVsecimp	áva	imp	5	yes	no					no
odpírač	27	3	yes1	a	č	čarípdo							odpírat	deVsecimp	a	imp	5	yes	no					no
odpalovač	25	4	yes1	ova	č	čavolapdo							odpalovat	deVsecimp	ova	imp	3	yes	no					no
odmlžovač	1	4	yes1	ova	č	čavožlmdo							odmlžovat	deVsecimp	ova	imp	3	yes	no					no
odmítač	14	3	yes1	a	č	čatímdo							odmítat	deVsecimp	a	imp	5	yes	no					no
odminovač	2	4	yes1	ova	č	čavonimdo							odminovat	deNaction	ova	per	3	yes	no					no
odklízeč	10	3	yes1	e	č	čezílkdo							odklízet	deVsecimp	e	imp	4	yes	no					no
odháněč	2	3	yes1	ě	č	čěnáhdo							odhánět	deVsecimp	ě	imp	4	yes	no					no
odběrač	1	3	yes1	a	č	čarěbdo							odbírat	deVsecimp	a	imp	5	yes	no					no
obveselovač	3	5	yes1	ova	č	čavolesevbo							obveselovat	deVsecimp	ova	imp	3	yes	no					no
obsluhovač	2	4	yes1	ova	č	čavohulsbo							obsluhovat	deVsecimp	ova	imp	3	yes	no					no
obráběč	39	3	yes1	ě	č	čěbárbo							obrábět	deVsecimp	ě	imp	4	yes	no					no
obkládač	3	3	yes1	a	č	čadálkbo							obkládat	deVsecimp	a	imp	5	yes	no					no
obkladač	53	3	yes1	a	č	čadalkbo							obkládat	deVsecimp	a	imp	5	yes	no					no
objímač	4	3	yes1	a	č	čamíjbo							objímat	deVsecimp	a	imp	5	yes	no					no
nýtovač	4	3	no	ova	č	čavotýn							nýtovat	deNaction	ova	imp	3	no	NA					no
normovač	1	3	no	ova	č	čavomron							normovat	deNloan	ova	imp	3	no	NA					no
navrtávač	1	4	yes1	áva	č	čavátrvan							navrtávat	deVsecimp	áva	imp	5	yes	no					no
navíječ	3	3	yes1	e	č	čejívan							navíjet	deVsecimp	e	imp	4	yes	no					no
natěrač	38	3	yes1	a	č	čarětan							natírat	deVsecimp	a	imp	5	yes	no					no
našeptávač	46	4	yes1	áva	č	čavátpešan							našeptávat	deVsecimp	áva	imp	5	yes	no					no
našeptavač	6	4	yes1	ava<áva	č	čavatpešan							našeptávat	deVsecimp	áva	imp	5	yes	no					no
naslouchač	10	3	yes1	a	č	čahcuolsan							naslouchat	deVpref	a	imp	5	no	NA					no
narážeč	12	3	yes1	e	č	čežáran							narážet	deVsecimp	e	imp	4	yes	no					no
napomáhač	3	4	yes2	a	č	čahámopan							napomáhat	deVsecimp	a	imp	5	yes	no					no
napomahač	1	4	yes2	a	č	čahamopan							napomáhat	deVsecimp	a	imp	5	yes	no					no
nahrávač	106	3	yes1	áva	č	čavárhan							nahrávat	deVsecimp	áva	imp	5	yes	no					no
nahazovač	5	4	yes1	ova	č	čavozahan							nahazovat	deVsecimp	ova	imp	3	yes	no					no
naháněč	24	3	yes1	ě	č	čěnáhan							nahánět	deVsecimp	ě	imp	4	yes	no					no
nadhazovač	177	4	yes1	ova	č	čavozahdan							nadhazovat	deVsecimp	ova	imp	3	yes	no					no
nadháněč	8	3	yes1	ě	č	čěnáhdan							nadhánět	deVsecimp	ě	imp	4	yes	no					no
nabízeč	1	3	yes1	e	č	čezíban							nabízet	deVsecimp	e	imp	4	yes	no					no
myč	17	1	no	x	č	čym							mýt	UNMOT	0	imp	3	no	NA					no
mydlič	1	2	no	i	č	čildym							mydlit	deNaction	i	imp	4	no	NA					no
mrskač	1	2	no	a	č	čaksrm							mrskat	UNMOT	a	imp	5	yes	no					no
mlžič	4	2	no	i	č	čižlm							mlžit	deNaction	i	imp	4	no	NA					no
mleč	5	1	no	e<0	č	čelm							mlít	UNMOT	0	imp	1	no	NA					no
mlátič	2	2	no	i	č	čitálm							mlátit	deNaction	i	imp	4	no	NA					no
miřič	2	2	no	i	č	čiřim							mířit	deAaction	i	imp	4	no	NA					no
míchač	21	2	no	a	č	čahcím							míchat	UNMOT	a	imp	5	yes	no					no
mazač	4	2	no	a	č	čazam							mazat	UNMOT	a	imp	1#5	yes	no					no
mapovač	3	3	no	ova	č	čavopam							mapovat	deNloan	ova	imp	3	no	NA					no
lupič	1094	2	no	i	č	čipul							loupit	deNaction	i	imp	4	no	NA					no
lisovač	1	3	no	ova	č	čavosil							lisovat	deNaction	ova	imp	3	no	NA					no
leptač	2	2	no	a	č	čatpel							leptat	UNMOT	a	imp	5	no	NA					no
lepič	36	2	no	i	č	čipel							lepit	UNMOT	i	imp	4	no	NA					no
lamač	79	1	no	a	č	čamal							lámat	UNMOT	a	imp	1	no	NA					no
