NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
srabík	4	1	no	x	ík	kíbars	srab	UNMOT																no
licoměrník	5	3#4	no	x	ík	kínrěmocil			licoměrný	COMPOUND														no
karabiník	5	3	no	x	ík	kínibarak	karabina	LOAN																no
lichometník	6	3#4	no	x	ík	kíntemohcil			lichometný	COMPOUND														no
majetník	6	2#3	no	x	ík	kíntejam			majetný	deNother														no
vápeník	6	2	no	x	ík	kínepáv	vápno	UNMOT	vápenný	deNother														no
křečík	6	1	no	x	ík	kíčeřk	křeček	UNMOT																no
hamižník	7	2#3	no	x	ík	kínžimah			hamižný	UNMOT														no
mimochodník	7	3#4	no	x	ík	kíndohcomim			mimochodný	COMPOUND														no
chocholík	7	2	no	x	ík	kílohcohc	chochol	UNMOT																no
kupčík	7	1#2	no	x	ík	kíčpuk	kupec	deVother																no
křivopřísežník	8	4#5	no	x	ík	kínžesířpoviřk			křivopřísežný	COMPOUND														no
bratřík	8	2	no	x	ík	kířtarb	bratr	UNMOT																no
halapartník	8	3#4	no	x	ík	kíntrapalah	halapartna	UNMOT																no
obřík	8	2	no	x	ík	kířbo	obr	UNMOT																no
pololáník	8	3	no	x	ík	kínálolop	pololán	COMPOUND																no
vinárník	8	2#3	no	x	ík	kínrániv	vinárna	deNother																no
zlomyslník	9	3#4	no	x	ík	kínlsymolz			zlomyslný	COMPOUND														no
lotřík	9	2	no	x	ík	kířtol	lotr	UNMOT																no
těžkotonážník	11	4#5	no	x	ík	kínžánotokžět			těžkotonážní	COMPOUND														no
lumpík	11	1	no	x	ík	kípmul	lump	UNMOT																no
pacholík	11	2	no	x	ík	kílohcap	pacholek	deNother																no
papírník	12	2#3	no	x	ík	kínrípap	papírna	deNother																no
ševčík	13	1	no	x	ík	kíčveš	švec	deVother																no
plnomocník	14	3#4	no	x	ík	kíncomonlp			plnomocný	COMPOUND														no
kančík	17	1	no	x	ík	kíčnak	kanec	UNMOT																no
družiník	18	2	no	x	ík	kínižurd	družina	deNother																no
palírník	18	2#3	no	x	ík	kínrílap	palírna	deVother																no
šéfík	18	1	no	x	ík	kíféš	šéf	LOAN																no
