action_noun 	 imperfective_verb 	 pdt_valency_frame_ipf 	 number_frames_ipf 	perfective_verb 	 pdt_valency_frame_pf 	 number_frames_pf
podpal 	 podpalovat 	 -- 	 0 	 podpálit 	 -- 	 0
katalýza 	 katalyzovat 	 v41bjxA 	 1 	 -- 	 -- 	 0
salut 	 salutovat 	 -- 	 0 	 -- 	 -- 	 0
bluf 	 blufovat 	 -- 	 0 	 -- 	 -- 	 0
ševel 	 ševelit 	 -- 	 0 	 -- 	 -- 	 0
štráchy 	 štrachat 	 -- 	 0 	 -- 	 -- 	 0
kvil 	 kvílet|kvílit 	 kvílet: v41bxkA, v41bxkB; kvílit: -- 	 unknown: multiple_verbs_available 	 -- 	 -- 	 0
postesk 	 posteskávat|posteskovat 	 posteskávat: --; posteskovat: -- 	 unknown: multiple_verbs_available 	 postesknout 	 -- 	 0
dozpěv 	 dozpívávat 	 -- 	 0 	 dozpívat 	 -- 	 0
zátřpyt 	 -- 	 -- 	 0 	 zatřpytit 	 -- 	 0
výhyn 	 vyhynovat 	 -- 	 0 	 vyhynout 	 v41obyA 	 1
